city,latitude,longitude
Bőcs,48.05,20.96667
Böde,46.83823,16.71902
Bödeháza,46.64158,16.40137
Bögöt,47.25273,16.82886
Bögöte,47.1,16.88333
Bögöte,47.08279,17.04542
Böhönye,46.41345,17.38037
Böhönye,46.41568,17.37261
Bököny,47.73333,21.75
Bölcske,46.74102,18.96736
Bőny,47.65,17.86977
Börcs,47.68534,17.49991
Börzönce,46.5798,16.89001
Bősárkány,47.68821,17.25
Bőszénfa,46.24171,17.8499
Bucsa,47.2,21
Bucsu,47.26528,16.49354
Búcsúszentlászló,46.78842,16.93081
Bucsuta,46.56602,16.83615
Budajenő,47.55689,18.80214
Budakalász,47.61667,19.05
Budakeszi,47.51083,18.92717
Budaörs,47.46181,18.95845
Budapest,47.49835,19.04045
Bugac,46.66667,19.66667
Bugac,46.68704,19.68074
Bugacpusztaháza,46.69902,19.63154
Bugyi,47.22748,19.14664
Buj,48.1,21.65
Buják,47.88352,19.54381
Buzsák,46.64843,17.57747
Bük,47.38486,16.75065
Bük,47.4,16.76667
Bükkábrány,47.88333,20.68333
Bükkaranyos,47.98333,20.78333
Bükkmogyorósd,48.12913,20.35555
Bükkösd,46.10751,17.9882
Bükkösd,46.28216,17.00177
Bükkszék,47.98333,20.18333
Bükkszenterzsébet,48.05456,20.16326
Bükkszentkereszt,48.06667,20.63333
Bükkszentmárton,48.07152,20.33097
Bükkzsérc,47.96667,20.5
Bürüs,45.96549,17.76012
Büssü,46.46111,17.96447
Büttös,48.48333,21.01667
Cák,47.35376,16.51446
Cakóháza,47.69659,17.28735
Cece,46.77056,18.62826
Cégénydányád,47.93367,22.54627
Cegléd,47.17266,19.79952
Ceglédbercel,47.2237,19.66828
Celldömölk,47.25713,17.15027
Cered,48.14667,19.96619
Chernelházadamonya,47.36167,16.84313
Cibakháza,46.95976,20.19753
Cigánd,48.25561,21.89195
Cikó,46.25881,18.562
Cirák,47.47824,17.02883
Cún,45.8125,18.06694
Csabacsűd,46.83333,20.65
Csabaszabadi,46.57457,20.95141
Csabdi,47.51955,18.61238
Csabrendek,47.01356,17.29108
Csáfordjánosfa,47.41598,16.95006
Csaholc,47.98383,22.73223
Csajág,47.04176,18.17841
Csákány,46.53872,17.27234
Csákánydoroszló,46.9764,16.48453
Csákberény,47.34638,18.3288
Csákvár,47.39184,18.46501
Csanádalberti,46.33333,20.71667
Csanádapáca,46.55,20.88333
Csanádpalota,46.25,20.73333
Csánig,47.43169,17.0242
Csány,47.64829,19.82972
Csányoszró,45.88141,17.91096
Csanytelek,46.59501,20.12342
Csapi,46.53238,17.08607
Csapod,47.51913,16.92772
Csárdaszállás,46.86667,20.93333
Csarnóta,45.89509,18.21644
Csaroda,48.15827,22.45951
Császár,47.498,18.14272
Császártöltés,46.42194,19.18361
Császló,47.91426,22.72332
Csátalja,46.03666,18.94686
Csatár,46.77661,16.86378
Csataszög,47.28359,20.38441
Csatka,47.37859,17.9781
Csávoly,46.18917,19.14667
Csebény,46.18991,17.9324
Csécse,47.86667,19.63333
Csegöld,47.90214,22.67573
Csehbánya,47.18205,17.68365
Csehi,47.03377,16.94596
Csehimindszent,47.04793,16.95491
Csém,47.68122,18.08719
Csemő,47.11799,19.69092
Csempeszkopács,47.15548,16.80529
Csengele,46.54234,19.86358
Csenger,47.83582,22.68096
Csengersima,47.86777,22.72629
Csengerújfalu,47.80594,22.62688
Csengőd,46.71543,19.26802
Csénye,47.2367,16.87221
Csenyéte,48.43333,21.05
Csép,47.57809,18.06356
Csépa,46.80555,20.13268
Csepreg,47.40098,16.70881
Csér,47.41749,16.93406
Cserdi,46.08308,17.99043
Cserénfa,46.30727,17.87882
Cserépfalu,47.93333,20.53333
Cserépváralja,47.93333,20.56667
Cserháthaláp,47.9823,19.37547
Cserhátsurány,47.97915,19.42772
Cserhátszentiván,47.93942,19.58286
Cserkeszőlő,46.8632,20.18701
Cserkút,46.07572,18.13499
Csernely,48.2,20.45
Csernely,48.15,20.35
Cserszegtomaj,46.80165,17.22096
Csertalakos,46.64231,16.69882
Csertő,46.09475,17.8061
Csertő,46.10982,17.79621
Csesznek,47.35664,17.88515
Csesztreg,46.71514,16.51529
Csesztve,48.01488,19.27933
Csetény,47.31806,17.99208
Csévharaszt,47.3,19.43333
Csibrák,46.46667,18.35
Csibrák,46.44421,18.33933
Csikéria,46.12851,19.4713
Csikóstőttős,46.3404,18.15769
Csikvánd,47.46667,17.45171
Csincse,47.887,20.76811
Csincse,47.71667,20.81667
Csipkerek,47.06667,16.95
Csitár,48.0539,19.43067
Csobád,48.28333,21.03333
Csobaj,48.05,21.35
Csobánka,47.25,20.5
Csobánka,47.64637,18.96189
Csókakő,47.35182,18.2702
Csókakő,46.28358,17.68028
Csokonyavisonta,46.07705,17.44372
Csokvaomány,48.16667,20.38333
Csolnok,47.69116,18.71611
Csólyospálos,46.41842,19.83954
Csoma,47.01667,21.5
Csoma,46.37294,18.05182
Csomád,47.65962,19.22913
Csombárd,46.45217,17.67124
Csongrád,46.71332,20.14241
Csongrád,47.15,18.7
Csonkahegyhát,46.80067,16.72001
Csonkamindszent,46.05305,17.96576
Csopak,46.97709,17.91819
Csór,47.20567,18.25671
Csorna,46.55513,19.1499
Csorna,47.61155,17.25012
Csorvás,46.63333,20.83333
Csót,47.36096,17.6087
Csöde,46.81674,16.53194
Csögle,47.21645,17.25663
Csökmő,47.03333,21.3
Csököly,46.29901,17.55373
Csömend,46.56956,17.49423
Csömödér,46.61006,16.63806
Csömör,47.55,19.23333
Csönge,47.35,17.06667
Csörnyeföld,46.50002,16.63335
Csörög,47.73667,19.194
Csörötnek,46.95056,16.36405
Csősz,47.03762,18.41495
Csővár,47.81315,19.32358
Csurgó,47.01667,21.18333
Csurgó,47.25,21.45
Csurgó,46.35,18.7
Csurgó,46.25314,17.1006
Csurgónagymarton,46.29425,17.08188
Dabas,47.18594,19.31091
Dabronc,47.03072,17.16798
Dabrony,47.24342,17.32794
Dad,47.51913,18.22627
Dág,47.66257,18.72049
Dáka,47.28774,17.42802
Dalmand,46.49626,18.18321
Damak,48.31667,20.83333
Dámóc,48.37519,22.03385
Dánszentmiklós,47.21486,19.54695
Dány,47.52,19.544
Daraboshegy,46.95934,16.56915
Darány,45.98213,17.59011
Darnó,47.95846,22.65926
Darnó,47.95,20.16667
Darnó,47.95,20.16667
Darnózseli,47.84939,17.42371
Daruszentmiklós,46.87207,18.85728
Darvas,48.36872,22.06276
Darvas,47.1,21.35
Dávod,45.995,18.91722
Debercsény,47.95987,19.31756
Debrecen,47.53167,21.62444
Debréte,48.5,20.86667
Decs,46.28428,18.76
Dédestapolcsány,48.18333,20.48333
Dég,46.86807,18.45042
Dejtár,48.03714,19.1646
Délegyháza,47.24135,19.09019
Demecser,48.11648,21.92624
Demjén,47.83333,20.33333
Dencsháza,45.993,17.83591
Dénesfa,47.45786,17.03059
Derecske,47.35,21.56667
Derecske,47.01667,21.18333
Derekegyház,46.57863,20.35378
Deszk,46.21802,20.24322
Detek,48.33333,21.03333
Detk,47.75,20.1
Dévaványa,47.03333,20.96667
Devecser,47.10316,17.43802
Dinnyeberki,46.09769,17.9566
Diósberény,46.53314,18.44343
Diósd,47.4095,18.94898
Diósjenő,47.93968,19.04317
Dióskál,46.67365,17.05572
Diósviszló,45.8777,18.16598
Doba,47.16548,17.37904
Doboz,46.73333,21.25
Doboz,47.42452,18.63769
Dobri,46.51621,16.58214
Dobronhegy,46.81581,16.75274
Dóc,46.43777,20.1375
Domaháza,48.18333,20.11667
Domaszék,46.24917,20.01111
Domaszék,46.28333,19.95
Dombegyház,46.33333,21.13333
Dombiratos,46.41667,21.11667
Dombóvár,46.37657,18.13696
Dombrád,48.23333,21.93333
Domony,47.65552,19.43229
Domoszló,47.83333,20.11667
Dormánd,47.71667,20.41667
Dorog,47.72095,18.73641
Dorogháza,47.98733,19.90152
Dozmat,47.23377,16.51198
Döbörhegy,46.99151,16.70382
Döbröce,46.93589,17.18779
Döbrököz,46.42178,18.23953
Döbrönte,47.22919,17.54651
Döge,48.26246,22.06339
Dömös,47.76163,18.9131
Dömsöd,47.09005,19.01106
Dör,47.59878,17.29976
Dörgicse,46.91477,17.72393
Döröske,47.01329,16.69804
Dötk,46.94359,17.00741
Dövény,48.35,20.55
Drágszél,46.4675,19.03972
Drávacsehi,45.81278,18.16722
Drávacsepely,45.82917,18.13861
Drávafok,45.88467,17.76401
Drávagárdony,45.94678,17.604
Drávaiványi,45.84656,17.81699
Drávakeresztúr,45.8392,17.75865
Drávapalkonya,45.80306,18.17889
Drávapiski,45.84,18.10111
Drávaszabolcs,45.80679,18.21045
Drávaszerdahely,45.83692,18.16108
Drávasztára,45.82751,17.82064
Drávatamási,45.94273,17.57223
Drégelypalánk,48.04721,19.05186
Dubicsány,48.28333,20.5
Dudar,47.31049,17.94445
Duka,47.1228,17.11274
Dunaalmás,47.72868,18.32235
Dunabogdány,47.79052,19.04125
Dunaegyháza,46.83809,18.95428
Dunafalva,46.07473,18.78142
Dunaföldvár,46.80713,18.92763
Dunaharaszti,47.3545,19.09822
Dunakeszi,47.63641,19.13864
Dunakiliti,47.96545,17.28662
Dunapataj,46.644,18.99632
Dunaremete,47.877,17.43613
Dunaszeg,47.77037,17.53847
Dunaszekcső,46.0874,18.7587
Dunaszentbenedek,46.59326,18.89447
Dunaszentgyörgy,46.52852,18.81771
Dunaszentmiklós,47.7039,18.38181
Dunaszentpál,47.77858,17.50828
Dunasziget,47.94027,17.35266
Dunasziget,47.23333,19.01667
Dunatetétlen,46.75749,19.09534
Dunaújváros,46.96479,18.93974
Dunavarsány,47.27859,19.06617
Dunavecse,46.91478,18.97127
Dusnok,46.58758,16.95139
Dusnok,46.39085,18.96296
Dúzs,46.48902,18.37987
Ebergőc,47.56362,16.81131
Ebes,47.46667,21.5
Ebes,46.30966,18.70911
Écs,47.56089,17.7067
Ecséd,47.73267,19.76696
Ecseg,47.8981,19.60609
Ecsegfalva,47.15,20.91667
Ecseny,46.551,17.8531
Ecser,47.44389,19.3245
Edde,46.52405,17.71654
Edelény,48.3,20.73333
Edve,47.45512,17.13567
Eger,47.90265,20.37329
Egerág,45.98389,18.30472
Egeralja,47.23333,17.25
Egeraracsa,46.67366,17.07844
Egerbakta,47.93333,20.3
Egerbocs,48.03333,20.26667
Egercsehi,48.05,20.28333
Egerfarmos,47.71667,20.55
Egerlövő,47.71667,20.63333
Egerszalók,47.86667,20.33333
Egerszólát,47.88333,20.26667
Égerszög,48.45,20.58333
Egervár,46.93575,16.85326
Egervölgy,47.11896,16.90838
Egyed,47.52069,17.33867
Egyek,47.63333,20.9
Egyházasdengeleg,47.80029,19.5503
Egyházasfalu,47.46593,16.7647
Egyházasgerge,48.17962,19.64572
Egyházasharaszti,45.8104,18.33418
Egyházashetye,47.16847,17.11945
Egyházashollós,47.0584,16.68911
Egyházaskesző,47.41606,17.3287
Egyházaskozár,46.33178,18.31771
Egyházasrádóc,47.08911,16.61743
Elek,46.53333,21.25
Ellend,46.05966,18.37541
Előszállás,46.83094,18.83481
Emőd,47.93333,20.81667
Encs,48.33333,21.13333
Encsencs,47.73333,22.11667
Endrefalva,48.12705,19.57715
Endrőc,45.93009,17.76054
Enese,47.64635,17.42334
Enying,46.93046,18.24202
Eperjes,46.68333,20.56667
Eperjes,47.46667,21.1
Eperjes,47.45815,18.38655
Eperjes,48.21971,21.03984
Eperjeske,48.34507,22.21554
Eplény,47.20674,17.91973
Epöl,47.64616,18.63623
Ercsi,47.25194,18.89623
Érd,47.39489,18.91361
Erdőbénye,48.26667,21.36667
Erdőhorváti,48.31667,21.43333
Erdőkertes,47.67261,19.30786
Erdőkövesd,48.03333,20.1
Erdőkürt,47.77343,19.46086
Erdősmárok,46.05667,18.54509
Erdősmecske,46.17727,18.51136
Erdőtarcsa,47.76373,19.53947
Erdőtelek,47.68333,20.31667
Erdőtelek,46.3,18.48333
Erk,47.61667,20.08333
Érpatak,47.8,21.76667
Érsekcsanád,46.25352,18.98457
Érsekhalma,46.34882,19.12153
Érsekvadkert,47.99619,19.20231
Értény,46.61135,18.13334
Erzsébet,46.41667,20.5
Erzsébet,46.10038,18.45669
Erzsébet,46.66667,17.96667
Esztár,47.28333,21.78333
Eszteregnye,46.474,16.88349
Esztergályhorváti,46.70072,17.10894
Esztergom,47.7928,18.74148
Esztergom,47.75736,18.73008
Ete,47.53076,18.07526
Etes,48.11105,19.71924
Etyek,47.44794,18.75328
Fábiánháza,47.84759,22.35346
Fábiánsebestyén,46.68333,20.46667
Fácánkert,48.15,22.3
Fácánkert,47.56446,18.34261
Fácánkert,46.44649,18.73574
Fadd,46.46476,18.81925
Fáj,48.41667,21.08333
Fajsz,46.41695,18.91943
Fancsal,48.35,21.06667
Farád,47.60633,17.20024
Farkasgyepű,47.2,17.63333
Farkaslyuk,48.18333,20.31667
Farmos,47.36067,19.84619
Fazekasboda,46.12453,18.48415
Fedémes,48.03333,20.2
Fegyvernek,47.26667,20.53333
Fehérgyarmat,47.98333,22.51667
Fehértó,47.16667,20.7
Fehértó,46.64404,20.00078
Fehértó,46.37841,20.05354
Fehértó,47.67603,17.34659
Fehérvárcsurgó,47.29349,18.2646
Feked,46.45,19.03333
Feked,46.16191,18.55877
Feketeerdő,47.9365,17.27919
Felcsút,47.45797,18.58626
Feldebrő,47.81667,20.25
Felgyő,46.64741,20.1053
Felpéc,47.52345,17.59715
Felsőberecki,48.36667,21.7
Felsőcsatár,47.21327,16.44344
Felsődobsza,48.25653,21.07522
Felsőegerszeg,46.25437,18.13407
Felsőgagy,48.43333,21.01667
Felsőjánosfa,46.84633,16.55481
Felsőkelecsény,48.36667,20.6
Felsőlajos,47.0672,19.49713
Felsőmarác,46.93388,16.51988
Felsőmocsolád,46.58193,17.82525
Felsőnána,46.46681,18.52913
Felsőnyárád,48.33333,20.6
Felsőnyék,46.79601,18.29739
Felsőörs,47.01474,17.95332
Felsőpáhok,46.78424,17.15817
Felsőpakony,47.34329,19.23698
Felsőpetény,47.89115,19.19687
Felsőrajk,46.68104,16.987
Felsőregmec,48.49147,21.60579
Felsőszenterzsébet,46.75285,16.45499
Felsőszentiván,47.15419,19.05252
Felsőszentiván,47.05685,18.49325
Felsőszentiván,46.19713,19.18686
Felsőszentmárton,45.85222,17.7
Felsőszölnök,46.87615,16.16501
Felsőtárkány,47.96667,20.41667
Felsőtelekes,48.4,20.63333
Felsőtold,47.97154,19.61047
Felsővadász,48.36667,20.93333
